850	852	854	856	858	860	862	864	866	868	870	872	874	876	878	880	882	884	886	888	890	892	894	896	898	900	902	904	906	908	910	912	914	916	918	920	922	924	926	928	930	932	934	936	938	940	942	944	946	948	950	952	954	956	958	960	962	964	966	968	970	972	974	976	978	980	982	984	986	988	990	992	994	996	998	1000	1002	1004	1006	1008	1010	1012	1014	1016	1018	1020	1022	1024	1026	1028	1030	1032	1034	1036	1038	1040	1042	1044	1046	1048	Protein
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																				class
3.47985816	3.476057768	3.472175837	3.468331099	3.464456797	3.460571527	3.456706047	3.452830553	3.449021339	3.445265532	3.441553831	3.437954664	3.43441391	3.430949211	3.427607298	3.424381256	3.421355247	3.418452263	3.415724754	3.413203478	3.410832644	3.408593893	3.406430483	3.404408216	3.402509689	3.400724173	3.398989439	3.397283792	3.395519018	3.393690109	3.391616583	3.389284849	3.386638641	3.383758307	3.380603075	3.37716794	3.373470545	3.369564056	3.365554571	3.361454964	3.357302427	3.353170395	3.34910512	3.345215559	3.341623545	3.338351011	3.335422754	3.332845688	3.330719948	3.329179525	3.328245163	3.327950716	3.328337908	3.329393148	3.331001043	3.333035231	3.335534334	3.338476181	3.34177494	3.345388412	3.349229097	3.353173256	3.357004881	3.360563517	3.363720894	3.366305113	3.36816287	3.369323492	3.369805574	3.369702101	3.369009733	3.36784339	3.366291046	3.364338636	3.362075567	3.359589577	3.356869698	3.353900909	3.350634336	3.347213745	3.343673468	3.340031862	3.336262941	3.33241868	3.328551292	3.324630499	3.320665598	3.316638947	3.312594175	3.308470011	3.304351091	3.300279856	3.296252251	3.292210817	3.288173437	3.284211159	3.280298471	3.276471138	3.272626162	3.268860817	6.769999981
3.278917313	3.275374651	3.271786928	3.268191099	3.264570475	3.260945559	3.25731349	3.253652334	3.249994278	3.246373892	3.242807388	3.23929286	3.235810518	3.23232007	3.228872538	3.225507975	3.222310781	3.219228029	3.216263533	3.213401079	3.210662842	3.208031654	3.205492973	3.203037977	3.20069623	3.198450327	3.196263075	3.19411397	3.191975355	3.189779043	3.187442064	3.184919357	3.182195902	3.179280281	3.176100969	3.17272687	3.16918087	3.165480375	3.161660433	3.157758951	3.153884172	3.150019646	3.146203279	3.142490625	3.138929129	3.135625601	3.132596731	3.129883051	3.127470732	3.125491142	3.123983383	3.122982025	3.1224792	3.122463942	3.122887373	3.123687029	3.124804735	3.126254797	3.127999067	3.129992247	3.132198572	3.134494066	3.136782646	3.138903379	3.140775681	3.142282248	3.143301249	3.143804312	3.143754721	3.143232346	3.142254829	3.140896082	3.139227629	3.137271643	3.135058641	3.132612944	3.129979372	3.127181292	3.124211073	3.121112108	3.11786747	3.114546061	3.111133337	3.107638597	3.104071379	3.100440979	3.096771955	3.093055964	3.089318991	3.085561037	3.081765175	3.077965736	3.074187279	3.070431471	3.066708565	3.063014984	3.059393644	3.055774689	3.052167654	3.048617363	6.800000191
3.294601679	3.291299105	3.287919283	3.284468889	3.280994415	3.277484894	3.273966074	3.27043891	3.266946793	3.263487816	3.260061979	3.25662303	3.253220797	3.249874115	3.246587038	3.243433952	3.240365982	3.237347841	3.234446764	3.231641769	3.229017258	3.226477623	3.223989487	3.22161603	3.219334602	3.217124224	3.214982748	3.212821722	3.210640669	3.208337069	3.20590663	3.203290939	3.200466156	3.197439909	3.194201231	3.190778494	3.187146425	3.183376312	3.179470778	3.175509214	3.171545029	3.167630196	3.163809061	3.160095215	3.156551361	3.153263807	3.150261164	3.147531748	3.145114899	3.14309597	3.141597033	3.140636444	3.14021492	3.140290022	3.140771151	3.141563416	3.142647982	3.144020081	3.145685911	3.147605896	3.149688005	3.151838064	3.153936386	3.155840158	3.157440901	3.1586411	3.159379244	3.159604311	3.159347534	3.158602953	3.157444715	3.15590167	3.154029846	3.151902437	3.149529219	3.146995544	3.144303083	3.141427755	3.138393402	3.135247469	3.132012129	3.128679991	3.125240326	3.121743917	3.118204117	3.114586115	3.110930204	3.107232332	3.103504181	3.099715471	3.095908403	3.09215045	3.088371515	3.084616899	3.080892324	3.077198267	3.073566198	3.069949865	3.066369295	3.062792063	7.139999866
3.255145073	3.251760721	3.248319864	3.244839668	3.241314888	3.237757444	3.23418355	3.230631113	3.227072477	3.223516226	3.21999383	3.216504335	3.213063955	3.209691286	3.206374884	3.203151703	3.200033188	3.196973801	3.194023132	3.191189528	3.188500166	3.18592906	3.183426619	3.180972338	3.178565025	3.176226616	3.173963308	3.171720743	3.169463873	3.167121172	3.164648294	3.162059784	3.159321547	3.15641427	3.153328657	3.150064468	3.146679878	3.143182039	3.139633894	3.136060715	3.132449389	3.128789902	3.125142097	3.121646166	3.118371725	3.115348816	3.112573385	3.110037565	3.10777688	3.105858088	3.104386568	3.103396177	3.102865934	3.102736712	3.102986097	3.103586912	3.104501009	3.105699539	3.107157469	3.10888958	3.110816956	3.112820864	3.114779711	3.116599083	3.118194818	3.119466543	3.120297194	3.120705366	3.120649338	3.120155334	3.119267225	3.11804986	3.116579056	3.114873171	3.112948656	3.110852957	3.108581781	3.106151581	3.103592873	3.10091877	3.098179579	3.095363379	3.092464209	3.089528799	3.086535692	3.08353734	3.080511808	3.077465773	3.07438159	3.071297646	3.068241119	3.065193415	3.062142134	3.059106588	3.056113482	3.053168058	3.050252199	3.047369957	3.04450202	3.041626215	7.159999847
3.311136961	3.307559252	3.3039186	3.300265312	3.296647787	3.293070555	3.289448738	3.285808563	3.282197952	3.278665543	3.275185347	3.271742582	3.268384218	3.265124321	3.261943817	3.25889492	3.25595355	3.253127813	3.250461578	3.24794507	3.245558023	3.243294716	3.241108894	3.239079714	3.237153053	3.235279083	3.233445168	3.231663465	3.229858398	3.227958679	3.225877047	3.223603487	3.221110106	3.21833539	3.215313196	3.212083817	3.208643675	3.205039978	3.201355696	3.19766736	3.193962097	3.190173149	3.18640399	3.182718515	3.1793015	3.176192522	3.173410654	3.17097187	3.168820381	3.1671381	3.166006804	3.165465117	3.165510178	3.166071177	3.167149544	3.168679476	3.170607805	3.17288208	3.175526381	3.17852664	3.181765318	3.185153723	3.188524961	3.191743851	3.194637299	3.197022438	3.198873281	3.200105667	3.200692177	3.200688124	3.200240374	3.199347734	3.198010206	3.196253061	3.194217682	3.191981316	3.189454079	3.186702728	3.183777094	3.180725813	3.177515268	3.174167633	3.170729399	3.167162657	3.163496733	3.159803152	3.156096458	3.152320147	3.148428202	3.144563675	3.140715837	3.136863708	3.133022308	3.129226923	3.12548852	3.121747971	3.118098259	3.114458323	3.1108253	3.107218504	7.320000172
3.250879049	3.247375488	3.243811846	3.240234375	3.236679792	3.233157158	3.229606628	3.226051331	3.222615242	3.219253778	3.215918303	3.212598562	3.20932126	3.20618248	3.203188181	3.200300932	3.197577238	3.194990158	3.192541122	3.190224409	3.188046694	3.186002016	3.184087753	3.182266474	3.180537939	3.178885221	3.177274704	3.175690413	3.174089432	3.172388315	3.170490026	3.168372869	3.166002512	3.16338563	3.160536051	3.157444715	3.154129028	3.150689125	3.147171259	3.143637419	3.140028954	3.136366844	3.132726908	3.129242659	3.126024961	3.123147249	3.12062192	3.11841011	3.116569757	3.115229607	3.114460707	3.114311218	3.114740133	3.115724802	3.117210388	3.119107485	3.121424675	3.124128342	3.127160311	3.130500555	3.134043455	3.137676001	3.141232252	3.144516945	3.147422791	3.149857759	3.151734591	3.15294075	3.153514147	3.153518677	3.153042793	3.152096033	3.150788307	3.149192572	3.147281885	3.145148039	3.14275527	3.14018321	3.137408257	3.134463549	3.131429911	3.128288507	3.125050783	3.121705055	3.118313789	3.11488986	3.111423731	3.107920885	3.104405403	3.10088253	3.097350121	3.093834639	3.090358734	3.086920023	3.083552122	3.080241442	3.076950788	3.073663712	3.070417643	3.067191362	7.329999924
3.200377226	3.197163343	3.19391942	3.190656662	3.187357664	3.184043646	3.180706739	3.177379608	3.17402339	3.170719862	3.16745019	3.164221525	3.161010027	3.157855749	3.15478158	3.151784658	3.14885807	3.146035194	3.14330411	3.14068222	3.138188124	3.135784864	3.133484602	3.13127327	3.129141092	3.127108335	3.125108004	3.123138189	3.121150017	3.119087934	3.116892576	3.114521742	3.111983538	3.10931468	3.106447458	3.103389025	3.100128889	3.096742868	3.093275785	3.089735985	3.086187124	3.082688093	3.079256058	3.075909376	3.072677612	3.069678307	3.066974401	3.064531565	3.0623734	3.060590506	3.059277773	3.058462143	3.058098555	3.058175087	3.058630228	3.059415102	3.060526609	3.061969757	3.063697577	3.065642595	3.067766905	3.070042372	3.072325945	3.074469566	3.0763309	3.077873945	3.078994989	3.079586983	3.079684496	3.079320192	3.078549623	3.07737422	3.07588315	3.074165344	3.07221055	3.070039749	3.067682981	3.065160751	3.062460661	3.059622526	3.056698084	3.05368495	3.050555229	3.047331572	3.044088364	3.040797234	3.037469149	3.034082651	3.030683279	3.02728343	3.023861647	3.020435333	3.017014503	3.013581038	3.010151625	3.00680542	3.003544569	3.000322342	2.997075319	2.993842363	7.369999886
