850	852	854	856	858	860	862	864	866	868	870	872	874	876	878	880	882	884	886	888	890	892	894	896	898	900	902	904	906	908	910	912	914	916	918	920	922	924	926	928	930	932	934	936	938	940	942	944	946	948	950	952	954	956	958	960	962	964	966	968	970	972	974	976	978	980	982	984	986	988	990	992	994	996	998	1000	1002	1004	1006	1008	1010	1012	1014	1016	1018	1020	1022	1024	1026	1028	1030	1032	1034	1036	1038	1040	1042	1044	1046	1048	Protein
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
																																																																																																				class
3.126408577	3.123539925	3.120613813	3.117638588	3.11465764	3.111675024	3.108719826	3.105800629	3.102885485	3.10000062	3.097170115	3.094370604	3.091650009	3.089015245	3.08648777	3.084084749	3.081764936	3.079519272	3.077364683	3.075358152	3.073505402	3.071821928	3.070282698	3.068813562	3.067411661	3.066039324	3.064707518	3.063442945	3.06217885	3.06090045	3.059526205	3.057968378	3.056190729	3.054108858	3.051758528	3.049176216	3.046419859	3.043530703	3.040552855	3.037524462	3.034440994	3.031252146	3.027975082	3.024784803	3.021847725	3.019229174	3.016928673	3.014913321	3.013212919	3.01190567	3.011041641	3.010711432	3.010950804	3.011776686	3.013109207	3.014856339	3.016921997	3.019276857	3.021896124	3.024787903	3.027914286	3.03119874	3.034553528	3.037822723	3.040825605	3.043417692	3.045500994	3.047018766	3.047954559	3.048344851	3.048268557	3.047780752	3.046914101	3.045681	3.044112444	3.042251348	3.04015255	3.037828684	3.035332918	3.032691717	3.029891729	3.026920319	3.023828268	3.020653009	3.017388582	3.014055967	3.010679245	3.007271051	3.003782272	3.000225067	2.996644258	2.993092299	2.989559174	2.986042738	2.982562304	2.979111433	2.975670576	2.972234488	2.968832731	2.965458632	7.031882286
3.180392504	3.176534653	3.17265439	3.168778419	3.164951563	3.161149263	3.157355309	3.153546095	3.149714231	3.145910978	3.142164469	3.138526678	3.135007143	3.131549597	3.128206968	3.124946594	3.121764421	3.118722677	3.115836382	3.113136292	3.110638857	3.108272314	3.105996847	3.103789091	3.101624489	3.099570036	3.09762311	3.095766068	3.093935251	3.092104197	3.090129614	3.087934494	3.085462809	3.082740784	3.079805374	3.076650381	3.073306322	3.069806099	3.066170454	3.062439203	3.058646441	3.054794073	3.050916672	3.04713273	3.043588877	3.040385485	3.037497282	3.034882545	3.032602549	3.030748367	3.029427528	3.02870369	3.028597593	3.029113054	3.030134439	3.031570435	3.033370256	3.035467863	3.037889481	3.040626526	3.043618917	3.046804428	3.050049543	3.053189993	3.05604291	3.05845952	3.060344934	3.06165719	3.062383413	3.062549591	3.062192678	3.061352491	3.06008935	3.058445692	3.056462049	3.054175138	3.051653147	3.048929453	3.046031952	3.042936087	3.039642096	3.036174059	3.0325737	3.028902292	3.025171041	3.021403313	3.017605543	3.013760805	3.009845018	3.005846024	3.001801729	2.997767687	2.993755341	2.989805937	2.985923767	2.982066393	2.978213549	2.974347353	2.970486879	2.966649771	7.034107685
3.389256716	3.38598752	3.382654905	3.379231215	3.375737429	3.372242212	3.368766069	3.365287781	3.361799002	3.358291626	3.354795456	3.351339579	3.347908735	3.34453392	3.341222763	3.337971926	3.334815025	3.331753969	3.328818083	3.325969934	3.323240042	3.320620537	3.318144083	3.315784693	3.313512087	3.311294556	3.309090376	3.306895971	3.304735899	3.30253315	3.300286055	3.297862291	3.29522419	3.292345047	3.289245605	3.285927057	3.282380342	3.278668404	3.274871826	3.27104497	3.267213583	3.263348341	3.259477377	3.255674124	3.25203824	3.248641014	3.245554209	3.242776632	3.240319967	3.238216162	3.236557722	3.235383272	3.234768629	3.234689474	3.235066414	3.23585701	3.236967087	3.238320589	3.239962339	3.241858244	3.244022369	3.246339083	3.248646498	3.250880003	3.252906799	3.254595041	3.255789518	3.256462812	3.256652832	3.256324053	3.255543947	3.254344225	3.252832174	3.251000643	3.248838425	3.246427536	3.243800879	3.241015434	3.238070726	3.234941244	3.231655121	3.228268862	3.224792242	3.221228838	3.21756053	3.213823318	3.210044861	3.20620513	3.20230031	3.198351622	3.194350004	3.190361023	3.186386108	3.182429552	3.178494453	3.174542427	3.170645475	3.166810274	3.162997007	3.159183264	7.316557884
3.197682619	3.194126368	3.19057107	3.187021971	3.183508635	3.179983377	3.176445961	3.172956228	3.169558287	3.166212797	3.16293335	3.159691095	3.156541824	3.153499603	3.150566816	3.147773743	3.145115137	3.142611265	3.140282393	3.138147593	3.136198997	3.134407759	3.13272357	3.131154299	3.129663467	3.128281832	3.12698555	3.125782967	3.124584436	3.123329878	3.121971846	3.12036705	3.118474245	3.116259336	3.113750458	3.110996246	3.107971907	3.104693651	3.101249695	3.097690582	3.094130278	3.090525866	3.086919785	3.083393097	3.080115318	3.077147245	3.074486494	3.072135925	3.070166349	3.068690538	3.067816734	3.067635775	3.068171501	3.069366455	3.071151972	3.073409319	3.076076508	3.079107285	3.082522154	3.086297035	3.090385437	3.09467721	3.099005461	3.103205681	3.107108355	3.110548019	3.113413811	3.115603447	3.117095947	3.117887259	3.118026495	3.117580175	3.116630316	3.115247726	3.113497734	3.111387253	3.108995438	3.106339455	3.103431702	3.10030365	3.09695816	3.093434334	3.089757919	3.085949898	3.082060814	3.078077078	3.074018717	3.069876909	3.065632582	3.06136775	3.057056665	3.052769899	3.04848218	3.044146538	3.039819479	3.03554225	3.031386137	3.027261496	3.02312851	3.019063711	7.443416119
3.18241024	3.178953171	3.175462484	3.171936274	3.168391466	3.164808273	3.161216974	3.157646894	3.154065847	3.150537729	3.147080183	3.143680811	3.140326738	3.137006044	3.133725405	3.130535841	3.127437353	3.12448144	3.121638298	3.118879557	3.116230249	3.113723755	3.11131978	3.109016418	3.106793642	3.104621887	3.102513313	3.100422144	3.098355293	3.096271753	3.094142914	3.091888428	3.089456558	3.086785078	3.083895922	3.080794334	3.077537537	3.074178696	3.070730209	3.067246437	3.06373477	3.060221434	3.056731462	3.053294897	3.049982071	3.04690361	3.044102907	3.041612625	3.03941083	3.0375669	3.036117554	3.035107374	3.03459096	3.034587145	3.035042524	3.035857201	3.036967516	3.038339615	3.039988279	3.041893721	3.043987989	3.046255112	3.04859376	3.050866842	3.052914619	3.054603577	3.055864334	3.056628466	3.05690217	3.056735992	3.056143522	3.055156946	3.05384326	3.052250624	3.050362825	3.04820919	3.045844793	3.043283463	3.040570021	3.037710428	3.034720659	3.031615496	3.028436661	3.025202513	3.021868706	3.018420935	3.01491189	3.011360168	3.007785559	3.004193068	3.000569105	2.996931076	2.993294954	2.98965764	2.986032248	2.982481003	2.978999138	2.975552797	2.972092628	2.96866107	7.523869038
3.242930412	3.239421844	3.235940933	3.232402802	3.228805542	3.225146055	3.221482038	3.217873812	3.214355469	3.210945845	3.207657814	3.204388857	3.201115847	3.197901011	3.194807053	3.191882133	3.189135313	3.186559677	3.184146643	3.181905508	3.179742098	3.17771244	3.175819635	3.174053431	3.172425032	3.170911789	3.169492006	3.168112993	3.166683435	3.165113449	3.163377047	3.161453247	3.159346342	3.15695262	3.154271364	3.151295662	3.148044586	3.144569397	3.140967369	3.137353897	3.133733511	3.130069733	3.12637639	3.122750521	3.119351625	3.116303205	3.113611937	3.111272097	3.109309912	3.10786128	3.107014418	3.106765747	3.107132912	3.108098745	3.109612226	3.111608267	3.11403656	3.11686492	3.120056152	3.123554468	3.127281189	3.131175041	3.135065794	3.138836622	3.142305374	3.145340204	3.147753954	3.149495363	3.150596857	3.151075125	3.150939941	3.150297165	3.149251223	3.147856951	3.146086454	3.143984079	3.141592264	3.138938189	3.136067629	3.133039713	3.129874945	3.126541853	3.123088121	3.11951828	3.115861654	3.112108946	3.108300924	3.104477644	3.10058856	3.096648932	3.092637777	3.088647127	3.084649086	3.080710173	3.076846838	3.072986603	3.06918931	3.065383673	3.061629295	3.057886124	7.563381672
3.191720247	3.188903809	3.18604064	3.183126211	3.180135012	3.17712903	3.174105406	3.171054125	3.167992592	3.164942503	3.16191411	3.158926964	3.155960798	3.153059006	3.150181532	3.147351027	3.144586802	3.141942263	3.139413118	3.136964798	3.134628296	3.132394075	3.130250931	3.128194571	3.126156807	3.124204636	3.122307062	3.120440722	3.118613482	3.116754532	3.114806414	3.112714052	3.110405922	3.107873917	3.105110884	3.102118731	3.098968267	3.095636606	3.092224121	3.088749647	3.085263491	3.081803083	3.07835269	3.074965715	3.071679831	3.068576813	3.065756083	3.063191652	3.060943365	3.059011698	3.05749321	3.056422234	3.055844545	3.055761337	3.056112528	3.056818962	3.057808638	3.05904603	3.060545206	3.062300444	3.064269781	3.066409349	3.068624496	3.070793867	3.07275033	3.074330091	3.075451612	3.076075315	3.076236725	3.075973749	3.075284004	3.074232817	3.072848082	3.071136236	3.069134951	3.066877365	3.06441617	3.061781883	3.05901885	3.056155205	3.053172112	3.049987793	3.04664588	3.043233633	3.039804459	3.036334753	3.032814026	3.029219627	3.025539398	3.021807909	3.018070459	3.014326334	3.010538101	3.006790876	3.003134966	2.999492645	2.995831251	2.992161036	2.988539934	2.984963417	7.675449371
